,提交者（自动）,提交时间（自动）,日期（必填）,厅号（必填）,主持（必填）,主持时间（必填）,排麦人员（必填）,填坑（必填）,黑麦 公屏不互动,厅名中文,主持人员列表_AI解析,排麦人员列表_AI解析,排麦出席人数_AI解析,排麦缺席人数_AI解析,排麦置信度_AI解析,标准化日期_AI解析,日期匹配标志_AI解析,主持错误_AI解析,排麦错误_AI解析
53,4ever,2025-09-22 00:38:30,2025年09月22日,1242753醉春色,撒娇 晚晚,00：00-01：00,@zᶻ.知礼ᕑᗢᓫ @zᶻ.呆呆ᕑᗢᓫ @zᶻ.九酱ᕑᗢᓫ @zᶻ.娜娜ᕑᗢᓫ @zᶻ.小妤ᕑᗢᓫ @zᶻ.璐璐ᕑᗢᓫ @zᶻ.若可ᕑᗢᓫ 关门缺一,无,无,醉春色,撒娇|晚晚,知礼|呆呆|九酱|娜娜|小妤|璐璐|若可,7,1,high,20250922,True,,
54,4ever,2025-09-22 01:56:47,2025年09月22号,1242753醉春色,撒娇 晚晚,01：00-02：00,@zᶻ.知礼ᕑᗢᓫ @zᶻ.九酱ᕑᗢᓫ @zᶻ.呆呆ᕑᗢᓫ 关门缺五,无,无,醉春色,撒娇|晚晚,知礼|九酱|呆呆,3,5,high,20250922,True,,
55,撒娇,2025-09-22 05:52:04,2025年09月22号,1242753醉春色,撒娇,02：00-03：00,关门缺8,无,,醉春色,撒娇,,0,8,high,20250922,True,,
56,🍼葫芦娃🍭,2025-09-22 14:38:57,2025年9月22日,1242753醉春色,呆呆 娜娜,12:00-13:00,@ㅤzᶻ.撒娇ᕑᗢᓫ @zᶻ.九酱ᕑᗢᓫ @zᶻ.卷柏ᕑᗢᓫ @zᶻ.若可ᕑᗢᓫ @zᶻ.子鱼ᕑᗢᓫ @zᶻ.璐璐ᕑᗢᓫ 关门缺2,无,无,醉春色,呆呆|娜娜,撒娇|九酱|卷柏|若可|子鱼|璐璐,6,2,high,20250922,True,,
57,🍼葫芦娃🍭,2025-09-22 14:39:29,2025年9月22日,1242753醉春色,呆呆 娜娜,13:00-14:00,@zᶻ.卷柏ᕑᗢᓫ @zᶻ.九酱ᕑᗢᓫ @zᶻ.王摆摆ᕑᗢᓫ @ㅤzᶻ.撒娇ᕑᗢᓫ @zᶻ.璐璐ᕑᗢᓫ @zᶻ.若可ᕑᗢᓫ 关门缺2,无,无,醉春色,呆呆|娜娜,卷柏|九酱|王摆摆|撒娇|璐璐|若可,6,2,high,20250922,True,,
58,拾柒.,2025-09-22 16:26:28,2025年9月20号,1242753醉春色,樱桃,17.00-18.00,@zᶻ.呆呆ᕑᗢᓫ @ㅤzᶻ.撒娇ᕑᗢᓫ @zᶻ.娜娜ᕑᗢᓫ @zᶻ.璐璐ᕑᗢᓫ @zᶻ.卷柏ᕑᗢᓫ @zᶻ.九酱ᕑᗢᓫ @zᶻ.若可ᕑᗢᓫ 关门缺一,无,,醉春色,樱桃,呆呆|撒娇|娜娜|璐璐|卷柏|九酱|若可,7,1,high,20250920,False,,
59,海燕燕在发财中～,2025-09-22 16:27:36,2025年9月22日,1242753醉春色,卷柏,11:00-12:00,@zᶻ.呆呆ᕑᗢᓫ @zᶻ.娜娜ᕑᗢᓫ @zᶻ.田甜ᕑᗢᓫ @zᶻ.九酱ᕑᗢᓫ @zᶻ.若可ᕑᗢᓫ @zᶻ.璐璐ᕑᗢᓫ @zᶻ.子鱼ᕑᗢᓫ 关门缺一,无,无,醉春色,卷柏,呆呆|娜娜|田甜|九酱|若可|璐璐|子鱼,7,1,high,20250922,True,,
60,拾柒.,2025-09-22 16:28:16,2025年9月21号,1242753醉春色,樱桃,17.00-18.00,@zᶻ.卷柏ᕑᗢᓫ @zᶻ.王摆摆ᕑᗢᓫ @zᶻ.撒娇ᕑᗢᓫ @zᶻ.知礼ᕑᗢᓫ @zᶻ.懒懒兔ᕑᗢᓫ @zᶻ.九酱ᕑᗢᓫ 关门缺二,无,,醉春色,樱桃,卷柏|王摆摆|撒娇|知礼|懒懒兔|九酱,6,2,high,20250921,False,,
61,拾柒.,2025-09-22 18:06:58,2025年9月22号,1242753醉春色,樱桃,17.00-18.00,@zᶻ.呆呆ᕑᗢᓫ @zᶻ.撒娇ᕑᗢᓫ @zᶻ.卷柏ᕑᗢᓫ @zᶻ.王摆摆ᕑᗢᓫ @zᶻ.知礼ᕑᗢᓫ @zᶻ.桃桃ᕑᗢᓫ 关门缺二,无,,醉春色,樱桃,呆呆|撒娇|卷柏|王摆摆|知礼|桃桃,6,2,high,20250922,True,,
62,🐮梅🐮,2025-09-22 19:05:07,20250922,1242753醉春色,璐璐卷柏,19：00-20：00,@zᶻ.撒娇ᕑᗢᓫ @zᶻ.懒懒兔ᕑᗢᓫ @zᶻ.知礼ᕑᗢᓫ @zᶻ.九酱ᕑᗢᓫ @zᶻ.王摆摆ᕑᗢᓫ @zᶻ.呆呆ᕑᗢᓫ @zᶻ.晚晚ᕑᗢᓫ 关门缺一,无,,醉春色,璐璐|卷柏,撒娇|懒懒兔|知礼|九酱|王摆摆|呆呆|晚晚,7,1,high,20250922,True,,
63,🐮梅🐮,2025-09-22 21:48:12,20250922,1242753醉春色,璐璐懒懒兔,21：00-22：00,@zᶻ.若可ᕑᗢᓫ @zᶻ.王摆摆ᕑᗢᓫ @ㅤzᶻ.撒娇ᕑᗢᓫ @zᶻ.九酱ᕑᗢᓫ @zᶻ.呆呆ᕑᗢᓫ @zᶻ.晚晚ᕑᗢᓫ @zᶻ.娜娜ᕑᗢᓫ 关门缺一,无,,醉春色,璐璐懒懒兔,若可|王摆摆|撒娇|九酱|呆呆|晚晚|娜娜,7,1,high,20250922,True,,
64,4ever,2025-09-22 23:11:58,2025年09月22号,1242753醉春色,王摆摆 晚晚,23：00—00：00,@zᶻ.呆呆ᕑᗢᓫ @zᶻ.小妤ᕑᗢᓫ @zᶻ.九酱ᕑᗢᓫ @zᶻ.娜娜ᕑᗢᓫ @zᶻ.知礼ᕑᗢᓫ @ㅤzᶻ.撒娇ᕑᗢᓫ @zᶻ.若可ᕑᗢᓫ 关门缺一,无,无,醉春色,王摆摆|晚晚,呆呆|小妤|九酱|娜娜|知礼|撒娇|若可,7,1,high,20250922,True,,
65,苏苏。          ✩,2025-09-22 23:14:41,2028年9月22日,1242753醉春色,九酱，懒懒兔,22:00-23:00,@zᶻ.呆呆ᕑᗢᓫ @zᶻ.若可ᕑᗢᓫ @zᶻ.王摆摆ᕑᗢᓫ  @zᶻ.娜娜ᕑᗢᓫ @ㅤzᶻ.撒娇ᕑᗢᓫ @zᶻ.晚晚ᕑᗢᓫ @zᶻ.知礼ᕑᗢᓫ 关门缺一,无,,醉春色,九酱|懒懒兔,呆呆|若可|王摆摆|娜娜|撒娇|晚晚|知礼,7,1,high,20280922,False,,
66,撒娇,2025-09-23 01:48:59,2025年09月23号,1242753醉春色,撒娇,00：00-01：00,@zᶻ.呆呆ᕑᗢᓫ @zᶻ.九酱ᕑᗢᓫ 关门缺6,无,,醉春色,撒娇,呆呆|九酱,2,6,high,20250923,False,,
67,海燕燕在发财中～,2025-09-23 12:00:12,2025年09月23号,1242753醉春色,卷柏，撒娇,11:00-12:00,@zᶻ.娜娜ᕑᗢᓫ @zᶻ.璐璐ᕑᗢᓫ @zᶻ.九酱ᕑᗢᓫ @zᶻ.猫与花恋ᕑᗢᓫ @zᶻ.呆呆ᕑᗢᓫ @十三娘 关门缺2,无,无,醉春色,卷柏|撒娇,娜娜|璐璐|九酱|猫与花恋|呆呆|十三娘,6,2,high,20250923,False,,
263,暴富萌主,2025-09-22 09:07:16,2025.9.22,1332846百媚生,余欢小野猫,09.00-10.00,@ᰔᩚ 花花 ఌ  @ᰔᩚ 茗萱ఌ @🇨🇳田螺🐲 @ᰔᩚ 哚哚ఌ @ᰔᩚ 关关 ఌ @ᰔᩚ Siri ఌ @ᰔᩚ红豆豆ఌ 不缺关门,无,,百媚生,余欢小野猫,花花|茗萱|田螺|哚哚|关关|Siri|红豆豆,7,0,high,20250922,True,,
264,Elena Guo,2025-09-22 10:12:13,2025年9月22日,1332846百媚生,哚哚 花花,10.00-11.00,@ᰔᩚ Siri ఌ @ᰔᩚ 小野猫 ఌ @ᰔᩚ 关关 ఌ @🇨🇳田螺🐲 @ᰔᩚ 余欢 ఌ @ᰔᩚ红豆豆ఌ @ᰔᩚ 小发发ఌ 关门 满,无,,百媚生,哚哚|花花,Siri|小野猫|关关|田螺|余欢|红豆豆|小发发,7,0,high,20250922,True,,
265,Elena Guo,2025-09-22 12:41:20,2025年9月22日,1332846百媚生,哚哚 小发发,11.00-12.00,@ᰔᩚ 关关 ఌ @ᰔᩚ 茗萱ఌ @🇨🇳田螺🐲 @ᰔᩚ 花花 ఌ  @ᰔᩚ红豆豆ఌ @ᰔᩚ Siri ఌ @ᰔᩚ 小野猫 ఌ 关门满,无,,百媚生,哚哚|小发发,关关|茗萱|田螺|花花|红豆豆|Siri|小野猫,7,0,high,20250922,True,,
266,Elena Guo,2025-09-22 14:08:43,2025年9月22日,1332846百媚生,哚哚 小发发,14.00-15.00,@ᰔᩚ 关关 ఌ @ᰔᩚ红豆豆ఌ @🇨🇳田螺🐲 @ᰔᩚ 茗萱ఌ @ᰔᩚ 余欢 ఌ @ᰔᩚ 小野猫 ఌ 关门缺1,关,,百媚生,哚哚|小发发,关关|红豆豆|田螺|茗萱|余欢|小野猫,6,1,high,20250922,True,,
267,我就是你的糖,2025-09-22 17:01:57,2025年9月22日,1332846百媚生,余欢 小野猫,16.00-17.00,@ᰔᩚ 关关 ఌ @ᰔᩚ岁岁ఌ @ᰔᩚ Siri ఌ @ᰔᩚ 花花 ఌ  @ᰔᩚ 哚哚ఌ @🇨🇳田螺🐲 关门满排,无,,百媚生,余欢|小野猫,关关|岁岁|Siri|花花|哚哚|田螺,6,0,high,20250922,True,,
268,我就是你的糖,2025-09-22 17:09:42,2025年9月22日,1332846百媚生,小野猫  余欢,15.00-16.00,@ᰔᩚ 小发发ఌ @🇨🇳田螺🐲 @ᰔᩚ 关关 ఌ @ᰔᩚ 花花 ఌ  @ᰔᩚ 哚哚ఌ @ᰔᩚ 茗萱ఌ @ᰔᩚ红豆豆ఌ 满排 关门,无,,百媚生,小野猫|余欢,小发发|田螺|关关|花花|哚哚|茗萱|红豆豆,7,0,high,20250922,True,,
269,辣条味的猪猪,2025-09-22 20:52:43,2025年09月22号,1332846百媚生,小榆 田螺,20:00-21:00,@ᰔᩚ 关关 ఌ @ᰔᩚ Siri ఌ @ᰔᩚ 小野猫 ఌ @ᰔᩚ 余欢 ఌ @ᰔᩚ 泡芙 ఌ @ᰔᩚ红豆豆ఌ @ᰔᩚ 小发发ఌ 关门满,无,无,百媚生,小榆|田螺,关关|Siri|小野猫|余欢|泡芙|红豆豆|小发发,7,0,high,20250922,True,,
270,西北边陲68,2025-09-23 07:49:05,2025年09月23号,1332846百媚生,红豆豆,00:00-00:01,@~ᰔᩚ田螺ఌ @ᰔᩚ 泡芙 ఌ 关门缺5,无,无,百媚生,红豆豆,田螺|泡芙,2,5,medium,20250923,False,,
271,西北边陲68,2025-09-23 07:53:11,2025年9月22号,1332846百媚生,红豆豆,19:00-20:00,@ᰔᩚ 花花 ఌ  @~ᰔᩚ田螺ఌ @ᰔᩚ 小野猫 ఌ @ᰔᩚ 关关 ఌ @ᰔᩚ 茗萱ఌ @ᰔᩚ 泡芙 ఌ @ᰔᩚ Siri ఌ @ᰔᩚ 余欢 ఌ 关门满,无,无,百媚生,红豆豆,花花|田螺|小野猫|关关|茗萱|泡芙|Siri|余欢,8,0,high,20250922,True,,
272,西北边陲68,2025-09-23 07:56:50,2025年09月22号,1332846百媚生,红豆豆,06:00-07:00,@ᰔᩚSiri ఌ @🇨🇳田螺🐲 @ᰔᩚ 花花 ఌ  @ᰔᩚ 关关 ఌ 关门缺三,无,无,百媚生,红豆豆,Siri|田螺|花花|关关,4,3,medium,20250922,True,,
273,西北边陲68,2025-09-23 08:01:11,2022年09月22号,1332846百媚生,红豆豆,00:00-01:00,@ᰔᩚ小榆ఌ @🇨🇳田螺🐲 @ᰔᩚ 小发发ఌ @ᰔᩚ 关关 ఌ @ᰔᩚ 泡芙 ఌ 关门缺2,无,无,百媚生,红豆豆,小榆|田螺|小发发|关关|泡芙,5,2,medium,20220922,False,,
274,她,2025-09-23 11:59:59,2025年09月23日,1332846百媚生,花花 ,10:00—11:00,@~ᰔᩚ田螺ఌ @ᰔᩚSiri ఌ @ᰔᩚ 余欢 ఌ @ᰔᩚ 茗萱ఌ @ᰔᩚ 林绾绾 ఌ @ᰔᩚ 关关 ఌ @ᰔᩚ 小发发ఌ @ᰔᩚ 小野猫 ఌ 关门🈵,无,无,百媚生,花花,田螺|Siri|余欢|茗萱|林绾绾|关关|小发发|小野猫,8,0,high,20250923,False,,
275,她,2025-09-23 12:00:54,2025年09月23日,1332846百媚生,花花 ,11:00—12:00,@~ᰔᩚ田螺ఌ @ᰔᩚ 茗萱ఌ @ᰔᩚ 关关 ఌ @ᰔᩚ 余欢 ఌ @ᰔᩚ Siri ఌ @十三娘 @ᰔᩚ 小野猫 ఌ @ᰔᩚ小榆ఌ 关门🈵,无,无,百媚生,花花,田螺|茗萱|关关|余欢|Siri|十三娘|小野猫|小榆,8,0,high,20250923,False,,
276,暴富萌主,2025-09-23 12:41:27,2025.9.23,1332846百媚生,余欢小野猫,9.09.00-10.00,@~ᰔᩚ田螺ఌ @ᰔᩚ 花花 ఌ  @ᰔᩚ 小发发ఌ @ᰔᩚ 关关 ఌ @ᰔᩚ Siri ఌ @ᰔᩚ 茗萱ఌ 关门缺一,无,,百媚生,余欢|小野猫,田螺|花花|小发发|关关|Siri|茗萱,6,1,medium,20250923,False,,
281,AiL,2025-09-22 15:29:56,2025.09.22,醉春色,九酱，知礼,15.00-16.00,@zᶻ.卷柏ᕑᗢᓫ @zᶻ.呆呆ᕑᗢᓫ @zᶻ.沫沫ᕑᗢᓫ @zᶻ.娜娜ᕑᗢᓫ @ㅤzᶻ.撒娇ᕑᗢᓫ @zᶻ.王摆摆ᕑᗢᓫ 关门缺二,无,无,醉春色,九酱|知礼,卷柏|呆呆|沫沫|娜娜|撒娇|王摆摆,6,2,high,20250922,True,,
282,AiL,2025-09-22 16:22:54,2025.09.22,醉春色,撒娇，知礼,16.00-17.00,@zᶻ.卷柏ᕑᗢᓫ @zᶻ.娜娜ᕑᗢᓫ @zᶻ.桃桃ᕑᗢᓫ @zᶻ.九酱ᕑᗢᓫ @zᶻ.呆呆ᕑᗢᓫ @zᶻ.樱桃ᕑᗢᓫ 关门缺二,无,无,醉春色,撒娇|知礼,卷柏|娜娜|桃桃|九酱|呆呆|樱桃,6,2,high,20250922,True,,
